n_age,b_gender,n_income,n_daysWithoutFrequency,n_lifetimeValue,b_useByTime,b_waterActivities,b_fitnessActivities,b_teamActivities,b_combatActivities,n_allowedWeeklyVisits,n_allowedVisits,n_realVisits,n_renewals,b_dropout,n_timeAsCustomer,c_timeAsCustomer,n_recency,c_recency,n_frequenciesWeek,c_frequenciesWeek,n_classesWeek,c_classesWeek,n_classesVisit,c_classesVisit,n_ratioUtilization,c_utilization,n_spentPerMonth,b_rareActivities
60.0,1,5500.0,1.0,89.35,0,0.0,1.0,0.0,0.0,3.0,6.280000000000001,2.0,0.0,0,58.0,1-3m,1,<1w,1.0862068965517242,1-2,0.8448275862068966,0.5-1,0.7777777777777778,0.5-1,31.847133757961778,25-50%,46.21551724137931,0.0
29.0,1,2630.0,60.0,479.2,0,0.0,0.0,0.0,0.0,2.0,17.42,1.0,2.0,1,398.0,12m+,1568,>12m,0.4045226130653266,0.2-0.5,0.017587939698492462,<0.1,0.043478260869565216,<0.5,5.74052812858783,<25%,36.12060301507538,1.0
23.0,0,1980.0,7.0,37.60000000000002,0,0.0,1.0,0.0,0.0,7.0,30.03,6.0,0.0,1,30.0,<1m,889,>12m,1.4,1-2,0.0,0,0.0,0,19.98001998001998,<25%,37.60000000000002,0.0
9.0,0,0.0,22.000000000000007,155.4,0,0.0,0.0,1.0,0.0,2.0,17.72,3.0,0.0,1,160.0,3-6m,283,3-12m,0.875,0.5-1,0.0875,<0.1,0.1,<0.5,16.93002257336343,<25%,29.137500000000003,0.0
35.0,0,4320.0,210.0,373.2,0,0.0,1.0,0.0,0.0,7.0,60.97,0.0,3.0,1,778.0,12m+,721,>12m,0.36889460154241643,0.2-0.5,0.0,0,0.0,0,0.0,<25%,14.390745501285346,0.0
24.0,1,2220.0,3.0,140.0,0,0.0,1.0,0.0,0.0,7.0,59.01,26.0,0.0,1,243.0,6-12m,1190,>12m,0.8065843621399177,0.5-1,0.0,0,0.0,0,44.06032875783766,25-50%,17.283950617283953,0.0
23.0,0,2340.0,16.0,143.5,0,0.0,1.0,0.0,0.0,7.0,30.03,3.0,3.0,1,1283.0,12m+,219,3-12m,0.12003117692907249,0.1-0.2,0.0,0,0.0,0,9.99000999000999,<25%,3.3554169914263445,0.0
23.0,0,1910.0,99.0,233.9,1,0.0,1.0,0.0,0.0,7.0,60.97,11.0,5.0,1,1589.0,12m+,191,3-12m,0.14977973568281938,0.1-0.2,0.0,0,0.0,0,18.04165983270461,<25%,4.415984896161108,0.0
29.0,0,3220.0,69.0,212.6,0,0.0,0.0,0.0,1.0,7.0,60.97,0.0,2.0,1,425.0,12m+,945,>12m,0.0988235294117647,<0.1,0.0,0,0.0,0,0.0,<25%,15.00705882352941,0.0
14.0,1,0.0,74.0,253.5,0,0.0,0.0,1.0,0.0,2.0,17.72,0.0,2.0,1,209.0,6-12m,1076,>12m,0.20095693779904306,0.2-0.5,0.20095693779904306,0.1-0.5,1.0,0.5-1,0.0,<25%,36.387559808612444,0.0
20.0,1,1800.0,38.0,118.6,0,0.0,1.0,0.0,0.0,7.0,60.97,3.0,2.0,1,285.0,6-12m,1434,>12m,0.27017543859649124,0.2-0.5,0.0,0,0.0,0,4.920452681646712,<25%,12.48421052631579,0.0
29.0,1,2790.0,64.0,566.7,1,0.0,1.0,0.0,1.0,7.0,60.97,28.0,1.0,1,627.0,12m+,156,3-12m,2.1658692185007973,2-3,0.0,0,0.0,0,45.924225028702644,25-50%,27.11483253588517,0.0
63.0,1,4040.0,58.0,370.7,0,1.0,0.0,0.0,0.0,7.0,60.97,3.0,1.0,1,337.0,6-12m,1564,>12m,0.4362017804154303,0.2-0.5,0.0,0,0.0,0,4.920452681646712,<25%,32.99999999999999,0.0
12.0,1,0.0,262.0,188.6,0,0.0,0.0,0.0,0.0,2.0,17.42,0.0,0.0,1,302.0,6-12m,719,>12m,0.023178807947019868,<0.1,0.0,0,0.0,0,0.0,<25%,18.735099337748345,0.0
28.0,0,2050.0,44.0,143.6,0,1.0,1.0,0.0,0.0,7.0,59.01,10.0,0.0,1,187.0,6-12m,616,>12m,3.443850267379679,>3,0.0,0,0.0,0,16.94628029147602,<25%,23.037433155080212,0.0
26.0,0,2580.0,279.0,53.20000000000002,0,0.0,1.0,0.0,0.0,7.0,28.98,6.0,1.0,1,288.0,6-12m,1785,>12m,0.14583333333333334,0.1-0.2,0.0,0,0.0,0,20.70393374741201,<25%,5.541666666666669,0.0
47.0,0,4490.0,35.0,828.5,1,0.0,1.0,0.0,1.0,7.0,42.0,9.0,5.0,1,1849.0,12m+,35,1-2m,1.120605732828556,1-2,0.0,0,0.0,0,21.428571428571427,<25%,13.442401297998918,0.0
39.0,1,3890.0,42.0,185.5,0,0.0,1.0,0.0,0.0,7.0,62.02,3.0,1.0,1,334.0,6-12m,93,3-12m,1.404191616766467,1-2,0.0,0,0.0,0,4.837149306675266,<25%,16.661676646706585,0.0
19.0,0,1660.0,1.0,290.6,1,0.0,1.0,0.0,0.0,7.0,34.02,12.0,1.0,1,374.0,12m+,1,<1w,1.7780748663101604,1-2,0.0,0,0.0,0,35.273368606701936,25-50%,23.31016042780749,0.0
28.0,0,2510.0,10.0,52.0,0,0.0,1.0,0.0,1.0,7.0,24.01,2.0,0.0,0,30.0,<1m,10,1-2w,0.4666666666666667,0.2-0.5,0.0,0,0.0,0,8.329862557267804,<25%,52.0,0.0
30.0,0,3020.0,244.0,615.8,0,0.0,0.0,0.0,1.0,7.0,60.97,0.0,1.0,1,649.0,12m+,1431,>12m,0.4422187981510015,0.2-0.5,0.0,0,0.0,0,0.0,<25%,28.4653312788906,0.0
26.0,1,2120.0,63.0,187.59999999999997,0,0.0,0.0,0.0,1.0,7.0,60.97,0.0,0.0,1,161.0,3-6m,520,>12m,0.34782608695652173,0.2-0.5,0.0,0,0.0,0,0.0,<25%,34.95652173913042,0.0
43.0,1,3340.0,103.0,352.2,0,0.0,0.0,0.0,0.0,2.0,68.58,1.0,1.0,1,345.0,6-12m,1609,>12m,0.3855072463768116,0.2-0.5,0.3855072463768116,0.1-0.5,1.0,0.5-1,1.458151064450277,<25%,30.62608695652174,1.0
24.0,0,1710.0,6.0,969.8999999999999,1,1.0,0.0,0.0,0.0,3.0,26.13,11.0,3.0,1,1113.0,12m+,6,<1w,1.3018867924528301,1-2,1.3018867924528301,>1,1.0,0.5-1,42.09720627631076,25-50%,26.14285714285714,0.0
44.0,1,2520.0,44.99999999999999,314.7,0,0.0,1.0,0.0,0.0,7.0,60.97,8.0,2.0,1,448.0,12m+,1255,>12m,0.8125,0.5-1,0.0,0,0.0,0,13.121207151057897,<25%,21.073660714285715,0.0
13.0,1,0.0,5.0,596.3,0,1.0,0.0,0.0,0.0,2.0,6.280000000000001,3.0,4.0,0,1513.0,12m+,5,<1w,0.12491738268341045,0.1-0.2,0.08327825512227363,<0.1,0.6666666666666666,0.5-1,47.770700636942664,25-50%,11.823529411764705,0.0
17.0,0,1290.0,62.0,907.2,0,0.0,0.0,0.0,0.0,2.0,17.42,0.0,2.0,1,576.0,12m+,1249,>12m,0.7777777777777778,0.5-1,0.8142361111111112,0.5-1,1.046875,>1,0.0,<25%,47.25000000000001,1.0
20.0,1,1970.0,76.0,60.00000000000003,0,0.0,1.0,0.0,0.0,7.0,60.97,0.0,0.0,1,115.0,3-6m,556,>12m,0.4260869565217391,0.2-0.5,0.0,0,0.0,0,0.0,<25%,15.652173913043484,0.0
20.0,1,1230.0,56.0,201.7,0,0.0,1.0,0.0,0.0,7.0,30.03,3.0,3.0,1,697.0,12m+,849,>12m,0.27116212338593976,0.2-0.5,0.0,0,0.0,0,9.99000999000999,<25%,8.681492109038738,0.0
22.0,1,1520.0,34.0,260.1,0,0.0,1.0,0.0,0.0,7.0,60.97,4.0,2.0,1,460.0,12m+,148,3-12m,0.5173913043478261,0.5-1,0.015217391304347827,<0.1,0.029411764705882353,<0.5,6.5606035755289485,<25%,16.96304347826087,0.0
21.0,1,1820.0,4.0,73.6,0,0.0,1.0,0.0,0.0,7.0,30.03,7.0,0.0,1,64.0,1-3m,915,>12m,2.296875,2-3,0.0,0,0.0,0,23.310023310023308,<25%,34.5,0.0
2.0,0,0.0,107.0,492.85,0,1.0,0.0,0.0,0.0,2.0,15.140000000000004,0.0,1.0,1,415.0,12m+,1195,>12m,0.28674698795180725,0.2-0.5,0.28674698795180725,0.1-0.5,1.0,0.5-1,0.0,<25%,35.6277108433735,0.0
